SellerExternalId,SellerName,SellerEmail,CategoryPath,ProductAsin,ProductTitle,ProductType,Price,Currency,StockQuantity,CustomerExternalId,CustomerFullName,CustomerEmail,OrderExternalId,OrderedAtUtc,OrderStatus,Quantity,ShipmentExternalId,ShipmentStatus,TrackingNumber,DestinationCountry,DestinationCity,DestinationStreet
SEL-012,Seller SEL-012,sel-012@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-012,EchoSound Pro Headphones,Digital,56.49,USD,31,CUS-012,Customer CUS-012,cus-012@mail.local,ORD-0006,2026-01-12T19:11:00.000Z,Paid,3,SHP-0006,Delivered,TRK100011,Ukraine,Lviv,Soborna 25
SEL-013,Seller SEL-013,sel-013@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-013,Patterns for Scalable Systems,Physical,87.49,USD,32,CUS-013,Customer CUS-013,cus-013@mail.local,ORD-0007,2026-01-13T08:12:00.000Z,Packed,1,SHP-0007,Preparing,TRK100012,Ukraine,Odesa,Centralna 7
SEL-014,Seller SEL-014,sel-014@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-014,Barista Smart Brewer,Digital,118.49,USD,33,CUS-014,Customer CUS-014,cus-014@mail.local,ORD-0007,2026-01-14T09:13:00.000Z,Shipped,2,SHP-0007,InTransit,TRK100013,Ukraine,Dnipro,Independence 18
SEL-015,Seller SEL-015,sel-015@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-015,Kingdoms of Logic,Physical,149.49,USD,34,CUS-015,Customer CUS-015,cus-015@mail.local,ORD-0008,2026-01-15T10:14:00.000Z,Delivered,3,SHP-0008,Delivered,TRK100014,Ukraine,Kharkiv,Naukova 12
SEL-016,Seller SEL-016,sel-016@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-016,Nova Laptop 14,Physical,30.49,USD,35,CUS-016,Customer CUS-016,cus-016@mail.local,ORD-0008,2026-01-16T11:15:00.000Z,Created,1,SHP-0008,Preparing,TRK100015,Ukraine,Kyiv,Shevchenka 10
SEL-017,Seller SEL-017,sel-017@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-017,EchoSound Pro Headphones,Digital,61.49,USD,36,CUS-017,Customer CUS-017,cus-017@mail.local,ORD-0009,2026-01-17T12:16:00.000Z,Paid,2,SHP-0009,InTransit,TRK100016,Ukraine,Lviv,Soborna 25
SEL-018,Seller SEL-018,sel-018@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-018,Patterns for Scalable Systems,Physical,75.49,USD,37,CUS-018,Customer CUS-018,cus-018@mail.local,ORD-0009,2026-01-18T13:17:00.000Z,Packed,3,SHP-0009,Delivered,TRK100017,Ukraine,Odesa,Centralna 7
SEL-019,Seller SEL-019,sel-019@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-019,Barista Smart Brewer,Digital,106.49,USD,38,CUS-019,Customer CUS-019,cus-019@mail.local,ORD-0010,2026-01-19T14:18:00.000Z,Shipped,1,SHP-0010,Preparing,TRK100018,Ukraine,Dnipro,Independence 18
SEL-020,Seller SEL-020,sel-020@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-020,Kingdoms of Logic,Physical,137.49,USD,39,CUS-020,Customer CUS-020,cus-020@mail.local,ORD-0010,2026-01-20T15:19:00.000Z,Delivered,2,SHP-0010,InTransit,TRK100019,Ukraine,Kharkiv,Naukova 12
SEL-021,Seller SEL-021,sel-021@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-021,Nova Laptop 14,Physical,18.49,USD,40,CUS-021,Customer CUS-021,cus-021@mail.local,ORD-0011,2026-01-21T16:20:00.000Z,Created,3,SHP-0011,Delivered,TRK100020,Ukraine,Kyiv,Shevchenka 10
SEL-022,Seller SEL-022,sel-022@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-022,EchoSound Pro Headphones,Digital,49.49,USD,41,CUS-022,Customer CUS-022,cus-022@mail.local,ORD-0011,2026-01-22T17:21:00.000Z,Paid,1,SHP-0011,Preparing,TRK100021,Ukraine,Lviv,Soborna 25
SEL-023,Seller SEL-023,sel-023@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-023,Patterns for Scalable Systems,Physical,80.49,USD,42,CUS-023,Customer CUS-023,cus-023@mail.local,ORD-0012,2026-01-23T18:22:00.000Z,Packed,2,SHP-0012,InTransit,TRK100022,Ukraine,Odesa,Centralna 7
SEL-024,Seller SEL-024,sel-024@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-024,Barista Smart Brewer,Digital,111.49,USD,43,CUS-024,Customer CUS-024,cus-024@mail.local,ORD-0012,2026-01-24T19:23:00.000Z,Shipped,3,SHP-0012,Delivered,TRK100023,Ukraine,Dnipro,Independence 18
SEL-025,Seller SEL-025,sel-025@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-025,Kingdoms of Logic,Physical,142.49,USD,44,CUS-025,Customer CUS-025,cus-025@mail.local,ORD-0013,2026-01-25T08:24:00.000Z,Delivered,1,SHP-0013,Preparing,TRK100024,Ukraine,Kharkiv,Naukova 12
SEL-026,Seller SEL-026,sel-026@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-026,Nova Laptop 14,Physical,23.49,USD,45,CUS-026,Customer CUS-026,cus-026@mail.local,ORD-0013,2026-01-26T09:25:00.000Z,Created,2,SHP-0013,InTransit,TRK100025,Ukraine,Kyiv,Shevchenka 10
SEL-027,Seller SEL-027,sel-027@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-027,EchoSound Pro Headphones,Digital,54.49,USD,46,CUS-027,Customer CUS-027,cus-027@mail.local,ORD-0014,2026-01-27T10:26:00.000Z,Paid,3,SHP-0014,Delivered,TRK100026,Ukraine,Lviv,Soborna 25
SEL-028,Seller SEL-028,sel-028@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-028,Patterns for Scalable Systems,Physical,85.49,USD,47,CUS-028,Customer CUS-028,cus-028@mail.local,ORD-0014,2026-01-28T11:27:00.000Z,Packed,1,SHP-0014,Preparing,TRK100027,Ukraine,Odesa,Centralna 7
SEL-029,Seller SEL-029,sel-029@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-029,Barista Smart Brewer,Digital,116.49,USD,48,CUS-029,Customer CUS-029,cus-029@mail.local,ORD-0015,2026-01-29T12:28:00.000Z,Shipped,2,SHP-0015,InTransit,TRK100028,Ukraine,Dnipro,Independence 18
SEL-030,Seller SEL-030,sel-030@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-030,Kingdoms of Logic,Physical,147.49,USD,49,CUS-030,Customer CUS-030,cus-030@mail.local,ORD-0015,2026-01-30T13:29:00.000Z,Delivered,3,SHP-0015,Delivered,TRK100029,Ukraine,Kharkiv,Naukova 12
SEL-031,Seller SEL-031,sel-031@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-031,Nova Laptop 14,Physical,28.49,USD,50,CUS-031,Customer CUS-031,cus-031@mail.local,ORD-0016,2026-01-31T14:30:00.000Z,Created,1,SHP-0016,Preparing,TRK100030,Ukraine,Kyiv,Shevchenka 10
SEL-032,Seller SEL-032,sel-032@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-032,EchoSound Pro Headphones,Digital,59.49,USD,51,CUS-032,Customer CUS-032,cus-032@mail.local,ORD-0016,2026-02-01T15:31:00.000Z,Paid,2,SHP-0016,InTransit,TRK100031,Ukraine,Lviv,Soborna 25
SEL-033,Seller SEL-033,sel-033@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-033,Patterns for Scalable Systems,Physical,90.49,USD,52,CUS-033,Customer CUS-033,cus-033@mail.local,ORD-0017,2026-02-02T16:32:00.000Z,Packed,3,SHP-0017,Delivered,TRK100032,Ukraine,Odesa,Centralna 7
SEL-034,Seller SEL-034,sel-034@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-034,Barista Smart Brewer,Digital,121.49,USD,53,CUS-034,Customer CUS-034,cus-034@mail.local,ORD-0017,2026-02-03T17:33:00.000Z,Shipped,1,SHP-0017,Preparing,TRK100033,Ukraine,Dnipro,Independence 18
SEL-035,Seller SEL-035,sel-035@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-035,Kingdoms of Logic,Physical,135.49,USD,54,CUS-035,Customer CUS-035,cus-035@mail.local,ORD-0018,2026-02-04T18:34:00.000Z,Delivered,2,SHP-0018,InTransit,TRK100034,Ukraine,Kharkiv,Naukova 12
SEL-036,Seller SEL-036,sel-036@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-036,Nova Laptop 14,Physical,16.49,USD,55,CUS-036,Customer CUS-036,cus-036@mail.local,ORD-0018,2026-02-05T19:35:00.000Z,Created,3,SHP-0018,Delivered,TRK100035,Ukraine,Kyiv,Shevchenka 10
SEL-037,Seller SEL-037,sel-037@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-037,EchoSound Pro Headphones,Digital,47.49,USD,56,CUS-037,Customer CUS-037,cus-037@mail.local,ORD-0019,2026-02-06T08:36:00.000Z,Paid,1,SHP-0019,Preparing,TRK100036,Ukraine,Lviv,Soborna 25
SEL-038,Seller SEL-038,sel-038@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-038,Patterns for Scalable Systems,Physical,78.49,USD,57,CUS-038,Customer CUS-038,cus-038@mail.local,ORD-0019,2026-02-07T09:37:00.000Z,Packed,2,SHP-0019,InTransit,TRK100037,Ukraine,Odesa,Centralna 7
SEL-039,Seller SEL-039,sel-039@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-039,Barista Smart Brewer,Digital,109.49,USD,58,CUS-039,Customer CUS-039,cus-039@mail.local,ORD-0020,2026-02-08T10:38:00.000Z,Shipped,3,SHP-0020,Delivered,TRK100038,Ukraine,Dnipro,Independence 18
SEL-040,Seller SEL-040,sel-040@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-040,Kingdoms of Logic,Physical,140.49,USD,59,CUS-040,Customer CUS-040,cus-040@mail.local,ORD-0020,2026-02-09T11:39:00.000Z,Delivered,1,SHP-0020,Preparing,TRK100039,Ukraine,Kharkiv,Naukova 12
SEL-041,Seller SEL-041,sel-041@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-041,Nova Laptop 14,Physical,21.49,USD,60,CUS-041,Customer CUS-041,cus-041@mail.local,ORD-0021,2026-02-10T12:40:00.000Z,Created,2,SHP-0021,InTransit,TRK100040,Ukraine,Kyiv,Shevchenka 10
SEL-042,Seller SEL-042,sel-042@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-042,EchoSound Pro Headphones,Digital,52.49,USD,61,CUS-042,Customer CUS-042,cus-042@mail.local,ORD-0021,2026-02-11T13:41:00.000Z,Paid,3,SHP-0021,Delivered,TRK100041,Ukraine,Lviv,Soborna 25
SEL-043,Seller SEL-043,sel-043@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-043,Patterns for Scalable Systems,Physical,83.49,USD,62,CUS-043,Customer CUS-043,cus-043@mail.local,ORD-0022,2026-02-12T14:42:00.000Z,Packed,1,SHP-0022,Preparing,TRK100042,Ukraine,Odesa,Centralna 7
SEL-044,Seller SEL-044,sel-044@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-044,Barista Smart Brewer,Digital,114.49,USD,63,CUS-044,Customer CUS-044,cus-044@mail.local,ORD-0022,2026-02-13T15:43:00.000Z,Shipped,2,SHP-0022,InTransit,TRK100043,Ukraine,Dnipro,Independence 18
SEL-045,Seller SEL-045,sel-045@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-045,Kingdoms of Logic,Physical,145.49,USD,64,CUS-045,Customer CUS-045,cus-045@mail.local,ORD-0023,2026-02-14T16:44:00.000Z,Delivered,3,SHP-0023,Delivered,TRK100044,Ukraine,Kharkiv,Naukova 12
SEL-046,Seller SEL-046,sel-046@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-046,Nova Laptop 14,Physical,26.49,USD,65,CUS-046,Customer CUS-046,cus-046@mail.local,ORD-0023,2026-02-15T17:45:00.000Z,Created,1,SHP-0023,Preparing,TRK100045,Ukraine,Kyiv,Shevchenka 10
SEL-047,Seller SEL-047,sel-047@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-047,EchoSound Pro Headphones,Digital,57.49,USD,66,CUS-047,Customer CUS-047,cus-047@mail.local,ORD-0024,2026-02-16T18:46:00.000Z,Paid,2,SHP-0024,InTransit,TRK100046,Ukraine,Lviv,Soborna 25
SEL-048,Seller SEL-048,sel-048@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-048,Patterns for Scalable Systems,Physical,88.49,USD,67,CUS-048,Customer CUS-048,cus-048@mail.local,ORD-0024,2026-02-17T19:47:00.000Z,Packed,3,SHP-0024,Delivered,TRK100047,Ukraine,Odesa,Centralna 7
SEL-049,Seller SEL-049,sel-049@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-049,Barista Smart Brewer,Digital,119.49,USD,68,CUS-049,Customer CUS-049,cus-049@mail.local,ORD-0025,2026-02-18T08:48:00.000Z,Shipped,1,SHP-0025,Preparing,TRK100048,Ukraine,Dnipro,Independence 18
SEL-050,Seller SEL-050,sel-050@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-050,Kingdoms of Logic,Physical,150.49,USD,69,CUS-050,Customer CUS-050,cus-050@mail.local,ORD-0025,2026-02-19T09:49:00.000Z,Delivered,2,SHP-0025,InTransit,TRK100049,Ukraine,Kharkiv,Naukova 12
SEL-051,Seller SEL-051,sel-051@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-051,Nova Laptop 14,Physical,31.49,USD,70,CUS-051,Customer CUS-051,cus-051@mail.local,ORD-0026,2026-02-20T10:50:00.000Z,Created,3,SHP-0026,Delivered,TRK100050,Ukraine,Kyiv,Shevchenka 10
SEL-052,Seller SEL-052,sel-052@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-052,EchoSound Pro Headphones,Digital,45.49,USD,71,CUS-052,Customer CUS-052,cus-052@mail.local,ORD-0026,2026-02-21T11:51:00.000Z,Paid,1,SHP-0026,Preparing,TRK100051,Ukraine,Lviv,Soborna 25
SEL-053,Seller SEL-053,sel-053@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-053,Patterns for Scalable Systems,Physical,76.49,USD,72,CUS-053,Customer CUS-053,cus-053@mail.local,ORD-0027,2026-02-22T12:52:00.000Z,Packed,2,SHP-0027,InTransit,TRK100052,Ukraine,Odesa,Centralna 7
SEL-054,Seller SEL-054,sel-054@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-054,Barista Smart Brewer,Digital,107.49,USD,73,CUS-054,Customer CUS-054,cus-054@mail.local,ORD-0027,2026-02-23T13:53:00.000Z,Shipped,3,SHP-0027,Delivered,TRK100053,Ukraine,Dnipro,Independence 18
SEL-055,Seller SEL-055,sel-055@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-055,Kingdoms of Logic,Physical,138.49,USD,74,CUS-055,Customer CUS-055,cus-055@mail.local,ORD-0028,2026-02-24T14:54:00.000Z,Delivered,1,SHP-0028,Preparing,TRK100054,Ukraine,Kharkiv,Naukova 12
SEL-056,Seller SEL-056,sel-056@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-056,Nova Laptop 14,Physical,19.49,USD,75,CUS-056,Customer CUS-056,cus-056@mail.local,ORD-0028,2026-02-25T15:55:00.000Z,Created,2,SHP-0028,InTransit,TRK100055,Ukraine,Kyiv,Shevchenka 10
SEL-057,Seller SEL-057,sel-057@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-057,EchoSound Pro Headphones,Digital,50.49,USD,76,CUS-057,Customer CUS-057,cus-057@mail.local,ORD-0029,2026-02-26T16:56:00.000Z,Paid,3,SHP-0029,Delivered,TRK100056,Ukraine,Lviv,Soborna 25
SEL-058,Seller SEL-058,sel-058@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-058,Patterns for Scalable Systems,Physical,81.49,USD,77,CUS-058,Customer CUS-058,cus-058@mail.local,ORD-0029,2026-02-27T17:57:00.000Z,Packed,1,SHP-0029,Preparing,TRK100057,Ukraine,Odesa,Centralna 7
SEL-059,Seller SEL-059,sel-059@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-059,Barista Smart Brewer,Digital,112.49,USD,78,CUS-059,Customer CUS-059,cus-059@mail.local,ORD-0030,2026-02-28T18:58:00.000Z,Shipped,2,SHP-0030,InTransit,TRK100058,Ukraine,Dnipro,Independence 18
SEL-060,Seller SEL-060,sel-060@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-060,Kingdoms of Logic,Physical,143.49,USD,79,CUS-060,Customer CUS-060,cus-060@mail.local,ORD-0030,2026-03-01T19:59:00.000Z,Delivered,3,SHP-0030,Delivered,TRK100059,Ukraine,Kharkiv,Naukova 12
SEL-001,Seller SEL-001,sel-001@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-061,Nova Laptop 14,Physical,24.49,USD,80,CUS-061,Customer CUS-061,cus-061@mail.local,ORD-0031,2026-03-02T08:00:00.000Z,Created,1,SHP-0031,Preparing,TRK100060,Ukraine,Kyiv,Shevchenka 10
SEL-002,Seller SEL-002,sel-002@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-062,EchoSound Pro Headphones,Digital,55.49,USD,81,CUS-062,Customer CUS-062,cus-062@mail.local,ORD-0031,2026-03-03T09:01:00.000Z,Paid,2,SHP-0031,InTransit,TRK100061,Ukraine,Lviv,Soborna 25
SEL-003,Seller SEL-003,sel-003@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-063,Patterns for Scalable Systems,Physical,86.49,USD,82,CUS-063,Customer CUS-063,cus-063@mail.local,ORD-0032,2026-03-04T10:02:00.000Z,Packed,3,SHP-0032,Delivered,TRK100062,Ukraine,Odesa,Centralna 7
SEL-004,Seller SEL-004,sel-004@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-064,Barista Smart Brewer,Digital,117.49,USD,83,CUS-064,Customer CUS-064,cus-064@mail.local,ORD-0032,2026-03-05T11:03:00.000Z,Shipped,1,SHP-0032,Preparing,TRK100063,Ukraine,Dnipro,Independence 18
SEL-005,Seller SEL-005,sel-005@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-065,Kingdoms of Logic,Physical,148.49,USD,84,CUS-065,Customer CUS-065,cus-065@mail.local,ORD-0033,2026-03-06T12:04:00.000Z,Delivered,2,SHP-0033,InTransit,TRK100064,Ukraine,Kharkiv,Naukova 12
SEL-006,Seller SEL-006,sel-006@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-066,Nova Laptop 14,Physical,29.49,USD,85,CUS-066,Customer CUS-066,cus-066@mail.local,ORD-0033,2026-03-07T13:05:00.000Z,Created,3,SHP-0033,Delivered,TRK100065,Ukraine,Kyiv,Shevchenka 10
SEL-007,Seller SEL-007,sel-007@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-067,EchoSound Pro Headphones,Digital,60.49,USD,86,CUS-067,Customer CUS-067,cus-067@mail.local,ORD-0034,2026-03-08T14:06:00.000Z,Paid,1,SHP-0034,Preparing,TRK100066,Ukraine,Lviv,Soborna 25
SEL-008,Seller SEL-008,sel-008@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-068,Patterns for Scalable Systems,Physical,91.49,USD,87,CUS-068,Customer CUS-068,cus-068@mail.local,ORD-0034,2026-03-09T15:07:00.000Z,Packed,2,SHP-0034,InTransit,TRK100067,Ukraine,Odesa,Centralna 7
SEL-009,Seller SEL-009,sel-009@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-069,Barista Smart Brewer,Digital,105.49,USD,88,CUS-069,Customer CUS-069,cus-069@mail.local,ORD-0035,2026-03-10T16:08:00.000Z,Shipped,3,SHP-0035,Delivered,TRK100068,Ukraine,Dnipro,Independence 18
SEL-010,Seller SEL-010,sel-010@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-070,Kingdoms of Logic,Physical,136.49,USD,89,CUS-070,Customer CUS-070,cus-070@mail.local,ORD-0035,2026-03-11T17:09:00.000Z,Delivered,1,SHP-0035,Preparing,TRK100069,Ukraine,Kharkiv,Naukova 12
SEL-011,Seller SEL-011,sel-011@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-071,Nova Laptop 14,Physical,17.49,USD,90,CUS-071,Customer CUS-071,cus-071@mail.local,ORD-0036,2026-03-12T18:10:00.000Z,Created,2,SHP-0036,InTransit,TRK100070,Ukraine,Kyiv,Shevchenka 10
SEL-012,Seller SEL-012,sel-012@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-072,EchoSound Pro Headphones,Digital,48.49,USD,91,CUS-072,Customer CUS-072,cus-072@mail.local,ORD-0036,2026-03-13T19:11:00.000Z,Paid,3,SHP-0036,Delivered,TRK100071,Ukraine,Lviv,Soborna 25
SEL-013,Seller SEL-013,sel-013@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-073,Patterns for Scalable Systems,Physical,79.49,USD,92,CUS-073,Customer CUS-073,cus-073@mail.local,ORD-0037,2026-03-14T08:12:00.000Z,Packed,1,SHP-0037,Preparing,TRK100072,Ukraine,Odesa,Centralna 7
SEL-014,Seller SEL-014,sel-014@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-074,Barista Smart Brewer,Digital,110.49,USD,93,CUS-074,Customer CUS-074,cus-074@mail.local,ORD-0037,2026-03-15T09:13:00.000Z,Shipped,2,SHP-0037,InTransit,TRK100073,Ukraine,Dnipro,Independence 18
SEL-015,Seller SEL-015,sel-015@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-075,Kingdoms of Logic,Physical,141.49,USD,94,CUS-075,Customer CUS-075,cus-075@mail.local,ORD-0038,2026-03-16T10:14:00.000Z,Delivered,3,SHP-0038,Delivered,TRK100074,Ukraine,Kharkiv,Naukova 12
SEL-016,Seller SEL-016,sel-016@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-076,Nova Laptop 14,Physical,22.49,USD,95,CUS-076,Customer CUS-076,cus-076@mail.local,ORD-0038,2026-03-17T11:15:00.000Z,Created,1,SHP-0038,Preparing,TRK100075,Ukraine,Kyiv,Shevchenka 10
SEL-017,Seller SEL-017,sel-017@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-077,EchoSound Pro Headphones,Digital,53.49,USD,96,CUS-077,Customer CUS-077,cus-077@mail.local,ORD-0039,2026-03-18T12:16:00.000Z,Paid,2,SHP-0039,InTransit,TRK100076,Ukraine,Lviv,Soborna 25
SEL-018,Seller SEL-018,sel-018@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-078,Patterns for Scalable Systems,Physical,84.49,USD,97,CUS-078,Customer CUS-078,cus-078@mail.local,ORD-0039,2026-03-19T13:17:00.000Z,Packed,3,SHP-0039,Delivered,TRK100077,Ukraine,Odesa,Centralna 7
SEL-019,Seller SEL-019,sel-019@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-079,Barista Smart Brewer,Digital,115.49,USD,98,CUS-079,Customer CUS-079,cus-079@mail.local,ORD-0040,2026-03-20T14:18:00.000Z,Shipped,1,SHP-0040,Preparing,TRK100078,Ukraine,Dnipro,Independence 18
